"","file.path","folder.name","file.name","raw.length","trimmed.length","trim.start","trim.finish","raw.secondary.peaks","trimmed.secondary.peaks","raw.mean.quality","trimmed.mean.quality","raw.min.quality","trimmed.min.quality"
"72","sanger/036_js_E5_515F.ab1","sanger","036_js_E5_515F.ab1",270,196,42,237,62,40,24.8851851851852,27.9744897959184,1,1
"73","sanger/037_js_E12_515F.ab1","sanger","037_js_E12_515F.ab1",256,221,18,238,10,0,44.3178294573643,49.3846153846154,1,14
"74","sanger/037_js_E4_515F.ab1","sanger","037_js_E4_515F.ab1",257,214,26,239,8,1,44.2558139534884,50.1121495327103,1,14
"75","sanger/038_js_E11_515F.ab1","sanger","038_js_E11_515F.ab1",260,222,21,242,7,0,43.0651340996169,48.4099099099099,1,16
"76","sanger/038_js_E3_515F.ab1","sanger","038_js_E3_515F.ab1",257,213,27,239,7,0,44.007722007722,50.0140845070423,1,15
"77","sanger/039_js_E10_515F.ab1","sanger","039_js_E10_515F.ab1",255,215,23,237,9,0,41.4692307692308,47.8883720930233,1,17
"78","sanger/039_js_E2_515F.ab1","sanger","039_js_E2_515F.ab1",257,224,16,239,8,2,44.5615384615385,49.875,1,12
"79","sanger/040_js_E1_515F.ab1","sanger","040_js_E1_515F.ab1",254,221,16,236,6,0,43.953667953668,49.2805429864253,1,15
"80","sanger/040_js_E9_515F.ab1","sanger","040_js_E9_515F.ab1",261,221,24,244,11,1,41.7954545454545,48.1809954751131,1,14
"81","sanger/041_js_o8_515F.ab1","sanger","041_js_o8_515F.ab1",254,26,38,63,35,5,18.6279069767442,20.5384615384615,1,1
"82","sanger/041_js_Sugar4_515F.ab1","sanger","041_js_Sugar4_515F.ab1",259,169,41,209,11,2,35.0229885057471,39.1715976331361,1,1
"83","sanger/042_js_o7_515F.ab1","sanger","042_js_o7_515F.ab1",258,219,19,237,4,0,42.7432950191571,47.8264840182648,1,12
"84","sanger/042_js_Sugar3_515F.ab1","sanger","042_js_Sugar3_515F.ab1",260,115,42,156,60,32,25.0190114068441,23.4,1,1
"85","sanger/043_js_o6_515F.ab1","sanger","043_js_o6_515F.ab1",258,217,24,240,9,1,39.3721804511278,46.1797235023041,1,16
"86","sanger/043_js_Sugar2_515F.ab1","sanger","043_js_Sugar2_515F.ab1",261,117,40,156,50,29,27.6653992395437,25.6410256410256,1,1
"87","sanger/044_js_o5_515F.ab1","sanger","044_js_o5_515F.ab1",255,222,16,237,7,0,44.1627906976744,49.0630630630631,1,12
"88","sanger/044_js_Sugar1_515F.ab1","sanger","044_js_Sugar1_515F.ab1",264,211,29,239,7,0,39.794776119403,46.7488151658768,1,16
"89","sanger/045_js_o12_515F.ab1","sanger","045_js_o12_515F.ab1",269,137,101,237,62,23,26.9779411764706,37.3941605839416,1,1
"90","sanger/045_js_o4_515F.ab1","sanger","045_js_o4_515F.ab1",259,222,20,241,7,0,43.360153256705,48.7162162162162,1,12
"91","sanger/046_js_o11_515F.ab1","sanger","046_js_o11_515F.ab1",251,217,28,244,7,1,41.0509803921569,46.3594470046083,1,16
"92","sanger/046_js_o3_515F.ab1","sanger","046_js_o3_515F.ab1",257,222,18,239,5,0,44.3488372093023,49.3378378378378,1,12
"93","sanger/047_js_o10_515F.ab1","sanger","047_js_o10_515F.ab1",258,180,35,214,6,0,40.8735632183908,47.3222222222222,1,13
"94","sanger/047_js_o2_515F.ab1","sanger","047_js_o2_515F.ab1",258,222,19,240,5,0,42.6538461538462,47.8333333333333,1,12
"95","sanger/048_js_o1_515F.ab1","sanger","048_js_o1_515F.ab1",257,224,16,239,5,0,44.0846153846154,48.8392857142857,1,16
"96","sanger/048_js_o9_515F.ab1","sanger","048_js_o9_515F.ab1",260,187,38,224,9,2,31.5627376425856,35.7112299465241,1,1
